OrderID,OrderDate,CustomerID,ProductID,StoreID,Quantity,Discount
900000,02-03-2026,6585,1075,203,3,50
900001,09-04-2026,6206,1053,200,1,1000
900002,07-02-2026,5595,1082,218,8,500
900003,10-01-2026,7835,1023,200,2,0
900004,19-01-2026,7621,1031,212,6,100
900005,09-06-2026,6317,1055,204,8,50
900006,23-05-2026,6572,1028,221,9,200
900007,27-05-2026,5037,1097,211,9,50
900008,29-01-2026,6381,1043,211,5,100
900009,07-02-2026,7824,1072,219,3,50
900010,22-01-2026,7628,1030,211,10,500
900011,25-02-2026,5603,1097,219,6,500
900012,24-01-2026,5569,1047,200,8,50
900013,19-01-2026,5913,1070,206,3,0
900014,04-04-2026,5391,1070,204,10,500
900015,16-02-2026,7421,1005,208,4,50
900016,20-03-2026,6010,1041,209,4,100
900017,23-05-2026,7420,1056,218,6,100
900018,15-06-2026,5111,1045,218,6,500
900019,03-06-2026,6383,1026,213,10,1000
900020,20-05-2026,5179,1078,216,6,1000
900021,13-01-2026,6778,1039,224,1,0
900022,12-04-2026,5464,1098,215,10,200
900023,15-06-2026,5339,1095,201,2,0
900024,07-05-2026,5641,1054,204,5,1000
900025,24-01-2026,7210,1006,213,6,50
900026,24-01-2026,5242,1076,209,10,100
900027,04-03-2026,6424,1081,223,3,200
900028,17-03-2026,6318,1033,206,2,50
900029,03-01-2026,6850,1081,203,4,200
900030,09-05-2026,6143,1098,204,6,500
900031,09-01-2026,7287,1021,224,3,1000
900032,21-06-2026,7076,1069,216,4,500
900033,08-03-2026,6761,1070,209,4,1000
900034,07-05-2026,5873,1097,206,1,100
900035,10-01-2026,7261,1003,215,10,50
900036,27-02-2026,6804,1099,200,8,50
900037,30-05-2026,5581,1027,215,9,100
900038,17-03-2026,6161,1002,211,10,0
900039,05-04-2026,6145,1084,213,10,50
900040,22-02-2026,6015,1008,224,3,0
900041,12-03-2026,7810,1057,210,3,100
900042,08-04-2026,5818,1052,205,8,1000
900043,10-04-2026,5503,1032,219,4,100
900044,28-05-2026,7471,1034,202,10,200
900045,24-03-2026,5819,1041,224,10,100
900046,01-06-2026,5511,1085,203,3,200
900047,02-03-2026,7862,1027,211,4,200
900048,11-06-2026,6352,1047,206,10,500
900049,25-04-2026,7595,1045,221,2,100
900050,29-01-2026,6919,1058,203,1,0
900051,09-01-2026,6924,1092,221,5,500
900052,06-01-2026,5579,1025,218,2,50
900053,23-04-2026,7784,1009,209,4,100
900054,06-04-2026,7053,1088,224,9,1000
900055,27-05-2026,6939,1096,217,6,50
900056,17-01-2026,5562,1073,207,6,500
900057,30-01-2026,5899,1001,219,8,50
900058,10-04-2026,5474,1017,208,6,1000
900059,04-05-2026,6603,1094,218,8,200
900060,18-02-2026,5689,1083,201,7,500
900061,17-02-2026,6104,1040,209,4,0
900062,16-04-2026,5087,1093,213,3,100
900063,05-06-2026,6673,1022,209,6,500
900064,06-05-2026,7152,1091,208,7,1000
900065,05-04-2026,5725,1089,221,3,200
900066,20-03-2026,5268,1081,201,10,500
900067,19-01-2026,6089,1055,220,6,500
900068,02-01-2026,5633,1017,213,6,100
900069,30-01-2026,5303,1093,210,1,1000
900070,12-03-2026,5138,1028,222,6,0
900071,20-05-2026,5097,1056,218,3,50
900072,13-04-2026,5090,1064,221,2,200
900073,28-02-2026,5604,1029,200,7,500
900074,11-01-2026,7368,1028,201,3,500
900075,19-02-2026,7984,1083,207,4,1000
900076,02-04-2026,7296,1067,211,8,500
900077,22-04-2026,7733,1000,220,6,1000
900078,22-04-2026,6805,1062,224,4,50
900079,17-03-2026,5711,1062,224,7,500
900080,07-02-2026,6272,1007,207,9,50
900081,02-04-2026,5258,1053,216,9,1000
900082,22-04-2026,5307,1026,212,10,500
900083,19-02-2026,6352,1075,209,1,1000
900084,28-02-2026,7659,1007,200,7,50
900085,10-04-2026,7522,1005,207,1,100
900086,18-06-2026,5385,1018,212,10,1000
900087,21-05-2026,6070,1000,210,10,1000
900088,11-05-2026,7969,1031,204,6,0
900089,26-02-2026,5513,1084,214,7,50
900090,27-06-2026,5128,1041,220,10,50
900091,10-04-2026,7238,1014,205,8,200
900092,06-02-2026,5886,1035,204,1,0
900093,03-02-2026,5550,1054,200,2,1000
900094,12-05-2026,5609,1082,211,1,100
900095,17-06-2026,5231,1053,201,3,1000
900096,27-04-2026,6539,1061,211,2,100
900097,17-04-2026,7401,1082,218,9,0
900098,07-03-2026,6109,1064,218,6,100
900099,09-03-2026,5380,1066,207,10,200
900100,20-05-2026,6012,1063,210,3,1000
900101,09-05-2026,5747,1089,216,7,200
900102,01-05-2026,6396,1053,216,3,50
900103,11-02-2026,5752,1015,215,1,50
900104,20-02-2026,5524,1055,216,7,100
900105,12-06-2026,6068,1045,219,5,1000
900106,02-04-2026,6073,1065,200,8,100
900107,04-01-2026,6180,1089,209,1,500
900108,11-01-2026,7617,1065,212,8,0
900109,26-06-2026,7933,1055,217,4,500
900110,26-01-2026,7160,1069,204,8,200
900111,06-01-2026,5780,1056,200,10,50
900112,16-05-2026,7372,1091,219,7,200
900113,06-01-2026,6500,1084,216,7,1000
900114,28-01-2026,5839,1000,200,8,100
900115,09-03-2026,6070,1079,219,7,0
900116,22-06-2026,6065,1026,205,2,0
900117,24-04-2026,5625,1050,214,7,50
900118,21-06-2026,5420,1036,206,2,100
900119,09-06-2026,5672,1045,207,7,200
900120,30-06-2026,5018,1063,210,3,50
900121,11-02-2026,7575,1061,224,6,50
900122,05-06-2026,7807,1086,224,1,100
900123,28-02-2026,7089,1019,214,6,50
900124,17-02-2026,6508,1067,223,7,200
900125,27-03-2026,6380,1023,211,5,500
900126,26-03-2026,7482,1029,200,10,1000
900127,11-05-2026,7974,1093,211,5,100
900128,17-02-2026,5375,1095,221,3,1000
900129,26-03-2026,7330,1070,215,10,0
900130,20-04-2026,6939,1019,222,5,1000
900131,14-03-2026,5911,1004,209,5,50
900132,03-05-2026,6992,1050,222,10,200
900133,06-02-2026,6394,1091,205,3,100
900134,04-04-2026,6635,1006,212,5,0
900135,26-03-2026,6605,1054,211,9,1000
900136,29-06-2026,5713,1094,221,4,200
900137,24-05-2026,7265,1097,222,7,500
900138,04-04-2026,7958,1059,207,4,100
900139,10-06-2026,5875,1065,222,4,500
900140,08-05-2026,5331,1094,224,9,500
900141,03-05-2026,7167,1088,217,9,100
900142,11-05-2026,7698,1039,210,8,1000
900143,16-06-2026,7102,1070,221,10,500
900144,29-05-2026,7084,1040,219,2,200
900145,09-05-2026,5967,1058,218,2,200
900146,20-03-2026,6418,1061,212,1,500
900147,13-05-2026,6954,1042,218,7,100
900148,30-05-2026,7646,1084,217,9,100
900149,01-01-2026,5107,1013,220,2,500
900150,26-01-2026,6143,1077,206,6,500
900151,08-03-2026,7754,1006,205,6,100
900152,28-04-2026,6479,1082,222,2,500
900153,20-06-2026,5189,1033,222,10,100
900154,23-05-2026,7482,1019,205,7,100
900155,01-02-2026,6743,1031,221,6,50
900156,13-06-2026,6287,1064,220,5,100
900157,17-06-2026,6098,1046,224,5,500
900158,17-05-2026,7577,1063,217,6,100
900159,11-03-2026,7634,1027,213,1,50
900160,05-04-2026,5966,1023,221,3,50
900161,31-03-2026,5712,1017,222,9,500
900162,11-04-2026,7034,1033,204,8,100
900163,17-05-2026,6769,1089,224,7,500
900164,31-05-2026,6197,1029,208,8,0
900165,27-04-2026,7958,1037,206,8,200
900166,08-04-2026,7397,1076,200,5,50
900167,31-01-2026,6996,1058,222,5,500
900168,07-06-2026,6085,1015,222,3,0
900169,19-02-2026,5078,1093,204,5,500
900170,24-04-2026,5758,1034,224,5,0
900171,25-01-2026,5476,1036,211,8,1000
900172,04-04-2026,6567,1089,213,6,1000
900173,06-06-2026,6706,1009,200,6,200
900174,15-05-2026,5297,1050,206,9,100
900175,27-06-2026,7949,1096,217,3,0
900176,28-06-2026,5224,1012,219,10,1000
900177,18-06-2026,5110,1079,207,1,50
900178,26-02-2026,6702,1053,222,4,100
900179,11-04-2026,7021,1047,206,1,100
900180,13-05-2026,7351,1018,204,7,200
900181,13-05-2026,5827,1013,220,5,200
900182,25-04-2026,6461,1076,213,9,200
900183,01-01-2026,5279,1078,222,2,1000
900184,09-05-2026,5346,1034,202,8,100
900185,29-01-2026,7043,1011,220,6,500
900186,13-01-2026,7955,1031,200,10,1000
900187,09-06-2026,7922,1002,221,9,0
900188,08-03-2026,6818,1064,200,1,100
900189,25-03-2026,7416,1086,224,1,50
900190,23-05-2026,5934,1035,224,7,100
900191,04-05-2026,6403,1091,200,4,500
900192,30-04-2026,5566,1079,214,2,0
900193,16-01-2026,5769,1049,208,4,500
900194,17-04-2026,6713,1081,221,9,0
900195,28-01-2026,7190,1031,204,4,50
900196,10-02-2026,5718,1054,201,8,0
900197,13-02-2026,5127,1037,214,5,100
900198,05-02-2026,6396,1044,220,5,500
900199,12-03-2026,7671,1059,217,3,100
900200,01-01-2026,6551,1083,220,5,200
900201,10-06-2026,7552,1013,218,5,100
900202,07-02-2026,5921,1025,212,6,500
900203,28-03-2026,5614,1065,221,10,1000
900204,10-05-2026,6108,1077,204,2,1000
900205,14-02-2026,6609,1085,207,4,500
900206,15-05-2026,5390,1080,217,1,0
900207,09-04-2026,5969,1080,224,8,200
900208,24-05-2026,7556,1031,222,3,200
900209,31-03-2026,7808,1086,221,8,0
900210,27-02-2026,7773,1023,214,10,1000
900211,02-02-2026,7672,1043,207,1,200
900212,16-02-2026,6393,1039,210,5,50
900213,31-01-2026,5343,1058,217,9,1000
900214,21-06-2026,5918,1081,203,6,100
900215,20-02-2026,5733,1034,217,2,0
900216,11-02-2026,6593,1067,201,8,200
900217,09-06-2026,6533,1076,214,5,100
900218,14-06-2026,6067,1031,204,8,1000
900219,26-01-2026,6705,1058,213,5,1000
900220,15-01-2026,6679,1039,201,2,200
900221,20-06-2026,5471,1014,221,3,100
900222,25-02-2026,6335,1023,213,5,50
900223,20-05-2026,6863,1053,212,7,100
900224,13-02-2026,7451,1060,216,9,1000
900225,08-01-2026,5004,1041,224,6,50
900226,04-04-2026,6279,1054,205,9,500
900227,16-02-2026,5807,1023,220,10,50
900228,01-01-2026,5232,1009,216,9,100
900229,21-06-2026,7920,1081,203,3,200
900230,09-05-2026,7334,1038,222,4,200
900231,15-03-2026,6453,1020,201,9,0
900232,21-03-2026,5133,1055,223,4,1000
900233,26-05-2026,7094,1045,216,4,200
900234,24-05-2026,7319,1069,217,6,100
900235,11-06-2026,6660,1046,205,9,50
900236,10-04-2026,7411,1079,214,9,50
900237,10-01-2026,5256,1003,218,4,1000
900238,11-05-2026,6154,1017,201,2,50
900239,02-05-2026,7378,1049,203,4,1000
900240,27-03-2026,7620,1076,214,1,200
900241,16-04-2026,7067,1079,218,1,50
900242,12-01-2026,6893,1039,213,6,0
900243,24-05-2026,6806,1085,203,10,50
900244,07-05-2026,6249,1067,212,5,1000
900245,22-04-2026,6451,1058,208,8,500
900246,18-05-2026,5162,1016,223,3,500
900247,16-02-2026,7238,1095,224,9,100
900248,12-05-2026,7870,1095,212,10,1000
900249,05-04-2026,6565,1094,216,5,0
900250,21-01-2026,6545,1020,201,6,50
900251,25-06-2026,6609,1035,209,4,200
900252,07-02-2026,5912,1035,212,8,50
900253,17-05-2026,5700,1009,222,1,0
900254,02-04-2026,5259,1051,206,9,200
900255,30-01-2026,5075,1059,201,3,0
900256,30-05-2026,7313,1080,212,3,1000
900257,08-03-2026,7638,1055,219,1,200
900258,04-03-2026,5446,1055,215,7,200
900259,24-02-2026,6290,1039,223,7,0
900260,27-05-2026,7002,1036,220,9,200
900261,16-04-2026,7431,1033,217,7,200
900262,18-02-2026,6990,1000,221,9,500
900263,13-06-2026,5932,1053,209,3,0
900264,04-06-2026,5569,1040,217,8,50
900265,18-01-2026,5535,1094,222,10,50
900266,25-05-2026,5012,1022,224,4,50
900267,30-03-2026,5653,1079,216,7,500
900268,08-02-2026,7612,1013,224,6,100
900269,02-05-2026,7707,1023,224,1,1000
900270,29-01-2026,7943,1050,206,7,500
900271,23-06-2026,6120,1084,203,4,0
900272,14-01-2026,6272,1039,208,9,100
900273,23-01-2026,5231,1016,221,7,100
900274,29-01-2026,5520,1015,202,9,1000
900275,16-02-2026,6806,1064,200,4,50
900276,18-01-2026,7406,1055,221,4,200
900277,17-05-2026,6284,1098,217,2,500
900278,27-04-2026,6568,1046,200,4,0
900279,28-05-2026,7038,1038,210,7,0
900280,03-02-2026,5366,1086,215,7,100
900281,12-06-2026,7821,1055,223,5,50
900282,15-02-2026,7244,1001,205,4,100
900283,24-02-2026,6555,1097,211,1,50
900284,01-06-2026,6358,1022,209,7,500
900285,04-05-2026,5870,1066,210,10,50
900286,14-03-2026,7280,1063,200,2,0
900287,23-01-2026,6793,1072,208,1,1000
900288,05-05-2026,5665,1092,205,2,50
900289,12-04-2026,6984,1029,217,9,50
900290,22-03-2026,7147,1046,215,9,0
900291,18-01-2026,6865,1010,201,2,200
900292,21-04-2026,7598,1043,203,9,200
900293,12-05-2026,5663,1077,201,8,100
900294,12-02-2026,6687,1049,222,4,50
900295,01-05-2026,6348,1076,216,5,100
900296,11-01-2026,5234,1025,202,9,200
900297,04-02-2026,7515,1081,204,4,50
900298,07-06-2026,5963,1040,201,6,50
900299,29-06-2026,6724,1036,210,9,1000
900300,18-01-2026,6257,1009,216,6,200
900301,27-06-2026,7955,1012,219,7,500
900302,20-04-2026,7828,1078,214,8,200
