StoreID,StoreName,City,Region,Manager
200,Delhi Store 0,Delhi,North,Manager_0
201,Mumbai Store 1,Mumbai,West,Manager_1
202,Bengaluru Store 2,Bengaluru,South,Manager_2
203,Hyderabad Store 3,Hyderabad,South,Manager_3
204,Chennai Store 4,Chennai,South,Manager_4
205,Pune Store 5,Pune,West,Manager_5
206,Kolkata Store 6,Kolkata,East,Manager_6
207,Ahmedabad Store 7,Ahmedabad,West,Manager_7
208,Lucknow Store 8,Lucknow,North,Manager_8
209,Jaipur Store 9,Jaipur,North,Manager_9
210,Delhi Store 10,Delhi,North,Manager_10
211,Mumbai Store 11,Mumbai,West,Manager_11
212,Bengaluru Store 12,Bengaluru,South,Manager_12
213,Hyderabad Store 13,Hyderabad,South,Manager_13
214,Chennai Store 14,Chennai,South,Manager_14
215,Pune Store 15,Pune,West,Manager_15
216,Kolkata Store 16,Kolkata,East,Manager_16
217,Ahmedabad Store 17,Ahmedabad,West,Manager_17
218,Lucknow Store 18,Lucknow,North,Manager_18
219,Jaipur Store 19,Jaipur,North,Manager_19
220,Delhi Store 20,Delhi,North,Manager_20
221,Mumbai Store 21,Mumbai,West,Manager_21
222,Bengaluru Store 22,Bengaluru,South,Manager_22
223,Hyderabad Store 23,Hyderabad,South,Manager_23
224,Chennai Store 24,Chennai,South,Manager_24
